iter	Passed	Remaining
911	18040	1740
912	18069	1721
913	18096	1702
914	18121	1683
915	18146	1664
916	18172	1644
917	18196	1625
918	18220	1605
919	18246	1586
920	18272	1567
921	18297	1547
922	18322	1528
923	18344	1508
924	18371	1489
925	18397	1470
926	18424	1450
927	18451	1431
928	18481	1412
929	18519	1393
930	18543	1374
931	18568	1354
932	18600	1335
933	18621	1315
934	18646	1296
935	18667	1276
936	18693	1256
937	18718	1237
938	18748	1217
939	18774	1198
940	18798	1178
941	18822	1158
942	18846	1139
943	18871	1119
944	18890	1099
945	18911	1079
946	18934	1059
947	18968	1040
948	18990	1020
949	19013	1000
950	19037	980
951	19066	961
952	19089	941
953	19113	921
954	19138	901
955	19162	881
956	19182	861
957	19201	841
958	19223	821
959	19246	801
960	19272	782
961	19295	762
962	19319	742
963	19342	722
964	19366	702
965	19391	682
966	19416	662
967	19439	642
968	19463	622
969	19486	602
970	19509	582
971	19533	562
972	19554	542
973	19576	522
974	19598	502
975	19620	482
976	19642	462
977	19666	442
978	19690	422
979	19716	402
980	19740	382
981	19764	362
982	19789	342
983	19812	322
984	19832	302
985	19852	281
986	19879	261
987	19904	241
988	19930	221
989	19956	201
990	19982	181
991	20006	161
992	20027	141
993	20046	121
994	20069	100
995	20094	80
996	20131	60
997	20160	40
998	20198	20
999	20231	0
