iter	Accuracy	MultiClass
68	0.4493580599	1.599894526
69	0.4507845934	1.596792283
70	0.4607703281	1.593087631
71	0.4650499287	1.589023315
72	0.4721825963	1.582791114
73	0.4693295292	1.579190725
74	0.4721825963	1.575934728
75	0.4778887304	1.571108864
76	0.4807417974	1.568532169
77	0.482168331	1.563401229
78	0.4907275321	1.55923493
79	0.4893009986	1.555337143
80	0.4907275321	1.550292605
81	0.4921540656	1.546225184
82	0.4921540656	1.541359349
83	0.4992867332	1.53824942
84	0.5035663338	1.532996993
85	0.5035663338	1.530485961
86	0.5049928673	1.524925822
87	0.5049928673	1.520342651
88	0.5035663338	1.517351345
89	0.512125535	1.513662987
90	0.517831669	1.509798853
91	0.5221112696	1.505259105
92	0.5206847361	1.501830735
93	0.5249643367	1.498310687
94	0.5306704708	1.495006169
95	0.5306704708	1.490933143
96	0.5320970043	1.486128586
97	0.5335235378	1.482772849
98	0.5406562054	1.478583249
99	0.5463623395	1.474765254
100	0.547788873	1.471180503
101	0.5520684736	1.466842056
102	0.5577746077	1.462602344
103	0.5620542083	1.458103205
104	0.5592011412	1.453623868
105	0.5634807418	1.449230879
106	0.5706134094	1.445436783
107	0.5720399429	1.443442486
108	0.57489301	1.43975459
109	0.5734664765	1.436243551
110	0.5734664765	1.433383754
111	0.57489301	1.42984781
112	0.5805991441	1.426636833
113	0.5820256776	1.423588883
114	0.5863052782	1.421247928
115	0.5863052782	1.417714155
116	0.5934379458	1.41363583
117	0.5934379458	1.410297644
118	0.5948644793	1.407445555
119	0.5891583452	1.403684574
120	0.5877318117	1.401119883
121	0.5905848787	1.39862605
122	0.5991440799	1.395013376
123	0.6019971469	1.392784095
124	0.5991440799	1.389180308
125	0.6019971469	1.386844146
126	0.604850214	1.383303208
127	0.607703281	1.381322068
128	0.6091298146	1.379097107
129	0.607703281	1.375597303
130	0.6105563481	1.373771173
131	0.604850214	1.371185607
132	0.6091298146	1.36787923
133	0.607703281	1.364657428
134	0.6091298146	1.361526702
135	0.607703281	1.359191746
136	0.6134094151	1.355767349
137	0.6134094151	1.353259581
138	0.6162624822	1.350002625
139	0.6176890157	1.347822032
140	0.6248216833	1.344578232
141	0.6219686163	1.34230067
142	0.6233951498	1.33946283
143	0.6262482168	1.336865782
144	0.6291012839	1.333845604
145	0.6291012839	1.33193704
146	0.6319543509	1.329590798
147	0.6305278174	1.326989207
148	0.6319543509	1.323984531
149	0.6333808845	1.322170767
150	0.634807418	1.320548985
151	0.6362339515	1.318559756
152	0.6362339515	1.315784671
153	0.6390870185	1.313513515
154	0.6390870185	1.311006481
155	0.637660485	1.308012702
156	0.6390870185	1.305770952
157	0.6447931526	1.303171668
158	0.6433666191	1.300367638
159	0.6433666191	1.298144149
160	0.6447931526	1.296296683
161	0.6476462197	1.295026003
162	0.6490727532	1.292857483
163	0.6504992867	1.289460126
164	0.6519258203	1.286774429
165	0.6519258203	1.284633061
166	0.6519258203	1.28180352
167	0.6533523538	1.279708957
168	0.6547788873	1.277133589
169	0.6562054208	1.275098397
170	0.6562054208	1.273443478
171	0.6562054208	1.272271152
172	0.6576319544	1.270052738
173	0.6604850214	1.267211328
174	0.6604850214	1.264943188
175	0.6633380884	1.262711037
176	0.664764622	1.260584917
177	0.664764622	1.257850152
178	0.6661911555	1.255397108
179	0.6661911555	1.253480078
180	0.664764622	1.251627514
181	0.664764622	1.249570316
182	0.6661911555	1.248068498
183	0.667617689	1.245761874
184	0.6733238231	1.243624834
185	0.6733238231	1.241619056
186	0.6747503566	1.239799002
187	0.6733238231	1.238299866
188	0.6761768902	1.235924807
189	0.6761768902	1.234387772
190	0.6776034237	1.232253865
191	0.6804564907	1.229898808
192	0.6818830243	1.227648071
193	0.6804564907	1.2255991
194	0.6818830243	1.224194733
195	0.6833095578	1.222296533
196	0.6861626248	1.220712714
197	0.6847360913	1.218445646
198	0.6861626248	1.216552595
199	0.6875891583	1.214590129
200	0.6890156919	1.212451809
201	0.6904422254	1.209544162
202	0.6918687589	1.208345681
203	0.694721826	1.206941069
204	0.6932952924	1.204870694
205	0.6918687589	1.20378605
206	0.6932952924	1.202157687
207	0.6961483595	1.199908139
208	0.694721826	1.198252153
209	0.6932952924	1.196566342
210	0.6961483595	1.195108037
211	0.697574893	1.193753573
212	0.697574893	1.191631972
213	0.6990014265	1.190431023
214	0.7018544936	1.188782563
215	0.7047075606	1.187293277
216	0.7061340942	1.185612286
217	0.7047075606	1.183497963
218	0.7104136947	1.181977557
219	0.7089871612	1.180486909
220	0.7132667618	1.178505387
221	0.7175463623	1.177269345
222	0.7146932953	1.175635511
223	0.7161198288	1.174236904
224	0.7161198288	1.171758868
225	0.7161198288	1.170182921
226	0.7175463623	1.168570171
227	0.7189728959	1.166369889
228	0.7203994294	1.164597359
229	0.7203994294	1.162789921
230	0.7203994294	1.161053495
231	0.7203994294	1.159753824
232	0.7218259629	1.158570378
233	0.72467903	1.15721644
234	0.72467903	1.155900112
235	0.72467903	1.154473075
236	0.72467903	1.153504884
237	0.727532097	1.152502833
238	0.727532097	1.151418078
239	0.7289586305	1.149284461
240	0.7289586305	1.14807598
241	0.7289586305	1.146721963
242	0.727532097	1.145426543
243	0.727532097	1.144158082
244	0.7289586305	1.143333894
245	0.7261055635	1.142057564
246	0.7289586305	1.140420377
247	0.7289586305	1.139211758
248	0.727532097	1.137439144
249	0.7261055635	1.135933005
250	0.7289586305	1.134349879
251	0.7303851641	1.132719788
252	0.7303851641	1.130829623
253	0.7303851641	1.12937337
254	0.727532097	1.127924895
255	0.7318116976	1.125939641
256	0.7332382311	1.124820374
257	0.7318116976	1.123407718
258	0.7318116976	1.121992239
259	0.7360912981	1.120932427
260	0.7360912981	1.119707446
261	0.7360912981	1.118806009
262	0.7375178317	1.117749549
263	0.7389443652	1.116567252
264	0.7403708987	1.115687556
265	0.7389443652	1.114240783
266	0.7417974322	1.113137164
267	0.7403708987	1.112113715
268	0.7403708987	1.110912526
269	0.7403708987	1.10956861
270	0.7389443652	1.107655407
271	0.7417974322	1.106247821
272	0.7417974322	1.104937286
273	0.7417974322	1.103450844
274	0.7446504993	1.102220378
275	0.7460770328	1.101018968
276	0.7489300999	1.099698603
277	0.7446504993	1.0983738
278	0.7460770328	1.096870684
279	0.7475035663	1.09577441
280	0.7475035663	1.094170517
281	0.7503566334	1.092962903
282	0.7503566334	1.091995999
283	0.7517831669	1.091138297
284	0.7517831669	1.089757384
285	0.7517831669	1.088581653
286	0.7532097004	1.087099947
287	0.7560627675	1.085957132
288	0.7560627675	1.084442069
289	0.7560627675	1.082439172
290	0.757489301	1.081235081
291	0.7589158345	1.080320618
292	0.7617689016	1.079292922
293	0.7631954351	1.077990404
294	0.7646219686	1.076472916
295	0.7646219686	1.074720094
296	0.7646219686	1.07343511
297	0.7660485021	1.072060157
298	0.7646219686	1.070667491
299	0.7660485021	1.069805094
300	0.7660485021	1.067718103
301	0.7674750357	1.066647296
302	0.7674750357	1.065861771
303	0.7703281027	1.064866403
304	0.7717546362	1.063626478
305	0.7746077033	1.062406532
306	0.7746077033	1.061120983
307	0.7731811698	1.059602911
308	0.7760342368	1.058293837
309	0.7760342368	1.057490545
310	0.7760342368	1.056335843
311	0.7760342368	1.05497741
312	0.7788873039	1.053839233
313	0.7788873039	1.052748552
314	0.7746077033	1.051392588
315	0.7746077033	1.050073605
316	0.7746077033	1.049326525
317	0.7746077033	1.048392445
318	0.7760342368	1.047422832
319	0.7774607703	1.04620798
320	0.7774607703	1.04497908
321	0.7774607703	1.04409666
322	0.7774607703	1.043506032
323	0.7788873039	1.042355318
324	0.7788873039	1.041288213
325	0.7788873039	1.040281424
326	0.7817403709	1.039300184
327	0.7817403709	1.038456187
328	0.7817403709	1.037334951
329	0.7860199715	1.036066827
330	0.7845934379	1.034839497
331	0.7845934379	1.033643546
332	0.7860199715	1.032859789
333	0.7888730385	1.030860895
334	0.7888730385	1.029658539
335	0.7888730385	1.028319235
336	0.7888730385	1.027581352
337	0.790299572	1.026746373
338	0.7945791726	1.025649022
339	0.7945791726	1.024595608
340	0.7945791726	1.023736288
341	0.7960057061	1.0224677
342	0.7945791726	1.021516863
343	0.7931526391	1.020332273
344	0.7917261056	1.019354869
345	0.7917261056	1.017751485
346	0.7945791726	1.016737671
347	0.7974322397	1.014825665
348	0.7974322397	1.014115395
349	0.7960057061	1.012385439
350	0.7960057061	1.011327258
351	0.7974322397	1.010359753
352	0.7988587732	1.009100052
353	0.7988587732	1.007902473
354	0.8017118402	1.006938252
355	0.8031383738	1.005983513
356	0.8031383738	1.004734553
357	0.8059914408	1.003552187
358	0.8059914408	1.0026124
359	0.8059914408	1.001209065
360	0.8059914408	1.000525174
361	0.8074179743	0.9990294029
362	0.8074179743	0.998046789
363	0.8074179743	0.9975939673
364	0.8088445078	0.9969410628
365	0.8088445078	0.9959460721
366	0.8088445078	0.9952440714
367	0.8074179743	0.9945874149
368	0.8074179743	0.9925050306
369	0.8074179743	0.9918409636
370	0.8074179743	0.9911288777
371	0.8116975749	0.9901168934
372	0.8116975749	0.989018645
373	0.8116975749	0.9875508647
374	0.8102710414	0.9865683583
375	0.8145506419	0.985513158
376	0.8159771755	0.9841540972
377	0.8159771755	0.9831557451
378	0.817403709	0.9825169962
379	0.817403709	0.9816562207
380	0.817403709	0.9809628211
381	0.8188302425	0.9798612775
382	0.8231098431	0.979110606
383	0.8245363766	0.9777780898
384	0.8231098431	0.9772598149
385	0.8245363766	0.976594712
386	0.8245363766	0.9754398007
387	0.8245363766	0.9742204513
388	0.8245363766	0.9729193338
389	0.8259629101	0.9719124707
390	0.8259629101	0.9713280429
391	0.8259629101	0.9695404061
392	0.8273894437	0.9679979033
393	0.8273894437	0.9667292489
394	0.8273894437	0.9653614655
395	0.8273894437	0.9645201688
396	0.8273894437	0.9633858467
397	0.8273894437	0.9625715321
398	0.8273894437	0.9618562663
399	0.8273894437	0.9607137023
400	0.8273894437	0.9599627089
401	0.8273894437	0.9590848595
402	0.8273894437	0.9580936626
403	0.8288159772	0.9572196151
404	0.8316690442	0.9563849538
405	0.8330955777	0.95545899
406	0.8316690442	0.954381524
407	0.8316690442	0.953384829
408	0.8316690442	0.9526001753
409	0.8345221113	0.9520817501
410	0.8345221113	0.9506105438
411	0.8345221113	0.9495661994
412	0.8345221113	0.9485203022
413	0.8359486448	0.9478304159
414	0.8373751783	0.9471106186
415	0.8373751783	0.946096557
416	0.8373751783	0.9449541233
417	0.8373751783	0.9440095269
418	0.8373751783	0.9430990231
419	0.8388017118	0.9424272716
420	0.8402282454	0.9417951335
421	0.8402282454	0.9406692922
422	0.8402282454	0.9398876079
423	0.8402282454	0.9391671052
424	0.8416547789	0.9382507859
425	0.8430813124	0.9372246286
426	0.8430813124	0.936162072
427	0.8430813124	0.9353807609
428	0.8430813124	0.9345743541
429	0.8459343795	0.9339609562
430	0.8459343795	0.933196878
431	0.8445078459	0.9320525603
432	0.8445078459	0.9310921695
433	0.8445078459	0.9305361457
434	0.8445078459	0.9299708442
435	0.8445078459	0.9289359516
436	0.8430813124	0.9281158117
437	0.8430813124	0.9275569199
438	0.8416547789	0.9265536177
439	0.8430813124	0.9256223404
440	0.8430813124	0.9248673507
441	0.8459343795	0.9239749993
442	0.8459343795	0.9229710668
443	0.8459343795	0.9225741632
444	0.8459343795	0.921123675
445	0.8459343795	0.9197256838
446	0.847360913	0.9189121094
447	0.847360913	0.9179188025
448	0.847360913	0.9169800887
449	0.8487874465	0.9164391709
450	0.8487874465	0.9154901664
451	0.8487874465	0.9143754532
452	0.8487874465	0.9137152468
453	0.8487874465	0.912905496
454	0.8516405136	0.911581709
455	0.8530670471	0.9108556546
456	0.8530670471	0.9100813105
457	0.8530670471	0.9093019952
458	0.8530670471	0.9084759896
459	0.8530670471	0.9075686295
460	0.8530670471	0.9069726607
461	0.8544935806	0.9061175991
462	0.8544935806	0.9051742955
463	0.8544935806	0.9041361533
464	0.8530670471	0.9035501208
465	0.8544935806	0.9025187352
466	0.8544935806	0.9015723923
467	0.8544935806	0.9000734653
468	0.8544935806	0.8988073265
469	0.8544935806	0.8980550244
470	0.8544935806	0.8971594283
471	0.8544935806	0.8960729241
472	0.8544935806	0.8950098111
473	0.8530670471	0.893837089
474	0.8544935806	0.8932658957
475	0.8544935806	0.8923813178
476	0.8544935806	0.8916917642
477	0.8544935806	0.8905854746
478	0.8559201141	0.8898756154
479	0.8559201141	0.8889629092
480	0.8573466476	0.8881958799
481	0.8559201141	0.887329933
482	0.8559201141	0.8866672061
483	0.8559201141	0.8858117291
484	0.8559201141	0.8849224841
485	0.8559201141	0.8838446492
486	0.8559201141	0.8829312255
487	0.8559201141	0.8825185971
488	0.8573466476	0.8817571619
489	0.8573466476	0.8810375819
490	0.8587731812	0.8806013344
491	0.8601997147	0.8798070523
492	0.8601997147	0.8790460464
493	0.8601997147	0.8781709625
494	0.8601997147	0.8773984434
495	0.8616262482	0.8766912361
496	0.8616262482	0.8760031259
497	0.8616262482	0.8745761159
498	0.8616262482	0.8737056479
499	0.8616262482	0.8732437803
500	0.8616262482	0.8724243797
501	0.8616262482	0.8715533895
502	0.8616262482	0.8710073607
503	0.8630527817	0.8703856864
504	0.8630527817	0.8695913497
505	0.8644793153	0.8689832318
506	0.8630527817	0.8680876249
507	0.8659058488	0.8671593069
508	0.8659058488	0.8664705275
509	0.8659058488	0.8658028394
510	0.8659058488	0.8652100346
511	0.8659058488	0.8645867492
512	0.8659058488	0.8640205868
513	0.8630527817	0.8632513056
514	0.8644793153	0.862708478
515	0.8644793153	0.861639935
516	0.8630527817	0.8610876846
517	0.8630527817	0.8602648281
518	0.8644793153	0.8595881198
519	0.8659058488	0.8586919794
520	0.8673323823	0.8579002006
521	0.8673323823	0.8573744764
522	0.8659058488	0.8567394336
523	0.8673323823	0.8560030826
524	0.8687589158	0.8553183489
525	0.8687589158	0.8546707508
526	0.8687589158	0.8538921691
527	0.8673323823	0.8527008427
528	0.8659058488	0.8520377303
529	0.8659058488	0.8515431779
530	0.8673323823	0.8508926696
531	0.8673323823	0.8503194933
532	0.8687589158	0.8495149521
533	0.8687589158	0.8487418098
534	0.8701854494	0.8477274993
535	0.8716119829	0.8468705524
536	0.8744650499	0.8459501315
537	0.8744650499	0.8454906833
538	0.8730385164	0.8450761651
539	0.8744650499	0.8441163484
540	0.8730385164	0.8436413491
541	0.8744650499	0.8427012507
542	0.8744650499	0.8419674351
543	0.8744650499	0.8411763364
544	0.8758915835	0.8404548528
545	0.877318117	0.8397826372
546	0.877318117	0.8392607897
547	0.8787446505	0.8386617407
548	0.880171184	0.8379785238
549	0.8815977175	0.8372389986
550	0.8815977175	0.8362840128
551	0.8815977175	0.8356254757
552	0.880171184	0.8345954043
553	0.8815977175	0.8337154
554	0.8830242511	0.8330679952
555	0.8830242511	0.8324108964
556	0.8858773181	0.831592945
557	0.8858773181	0.8309190188
558	0.8858773181	0.8304764103
559	0.8873038516	0.8295857124
560	0.8887303852	0.8290337519
561	0.8873038516	0.8284829009
562	0.8858773181	0.8279154127
563	0.8844507846	0.8271481855
564	0.8844507846	0.8267490248
565	0.8844507846	0.826114574
566	0.8844507846	0.8253919763
567	0.8873038516	0.8247132793
568	0.8858773181	0.8242544225
569	0.8873038516	0.823758238
570	0.8873038516	0.8232691488
571	0.8858773181	0.8223606939
572	0.8858773181	0.821856619
573	0.8844507846	0.8212608569
574	0.8858773181	0.82076198
575	0.8844507846	0.8203459542
576	0.8844507846	0.8198475288
577	0.8858773181	0.8187644113
578	0.8858773181	0.8181860871
579	0.8873038516	0.8172508567
580	0.8887303852	0.8160701884
581	0.8887303852	0.8153843603
582	0.8873038516	0.8145757502
583	0.8873038516	0.8138292848
584	0.8873038516	0.8132142701
585	0.8873038516	0.8122695142
586	0.8873038516	0.8116035199
587	0.8887303852	0.8111043932
588	0.8887303852	0.8106226732
589	0.8901569187	0.8097773151
590	0.8915834522	0.8089852022
591	0.8901569187	0.8085132798
592	0.8915834522	0.8076317507
593	0.8901569187	0.8068347288
594	0.8915834522	0.8063802529
595	0.8915834522	0.8059018722
596	0.8915834522	0.8049653711
597	0.8915834522	0.8044759819
598	0.8930099857	0.8035742198
599	0.8930099857	0.8024227288
600	0.8930099857	0.8017786211
601	0.8930099857	0.8010605939
602	0.8944365193	0.8003207643
603	0.8944365193	0.7997560421
604	0.8944365193	0.7992021265
605	0.8958630528	0.7984676232
606	0.8958630528	0.7977615212
607	0.8944365193	0.7965392944
608	0.8944365193	0.7960655956
609	0.8958630528	0.7955844371
610	0.8987161198	0.7949887398
611	0.8987161198	0.794431887
612	0.9001426534	0.7939368875
613	0.9001426534	0.7930574004
614	0.9015691869	0.7924609044
615	0.9015691869	0.7919655705
616	0.9029957204	0.7911654588
617	0.9029957204	0.790782334
618	0.9015691869	0.7899309196
619	0.9015691869	0.7895237819
620	0.9029957204	0.7885487584
621	0.9029957204	0.7877884996
622	0.9029957204	0.7871584006
623	0.9029957204	0.7867980109
624	0.9029957204	0.786151709
625	0.9029957204	0.785646201
626	0.9029957204	0.7847439378
627	0.9029957204	0.7834633566
628	0.9044222539	0.7828717071
629	0.9044222539	0.7820162029
630	0.9058487874	0.7814744228
631	0.9058487874	0.7806541484
632	0.9058487874	0.7802457776
633	0.9058487874	0.7797354464
634	0.9058487874	0.7791193423
635	0.9058487874	0.7786038396
636	0.9058487874	0.7777945261
637	0.9058487874	0.7775150278
638	0.907275321	0.7769789785
639	0.9058487874	0.776487531
640	0.907275321	0.7758391244
641	0.9087018545	0.7751248336
642	0.910128388	0.774642508
643	0.9087018545	0.7742235128
644	0.907275321	0.7736601408
645	0.907275321	0.7733028009
646	0.907275321	0.7727339947
647	0.9058487874	0.7723333612
648	0.907275321	0.7719024692
649	0.907275321	0.771469843
650	0.907275321	0.7706860691
651	0.907275321	0.769945588
652	0.910128388	0.7693553342
653	0.907275321	0.7689650577
654	0.907275321	0.7683506324
655	0.907275321	0.7679111512
656	0.9087018545	0.7672973588
657	0.910128388	0.7666227669
658	0.9115549215	0.7655135399
659	0.910128388	0.7651281002
660	0.9087018545	0.7646741698
661	0.910128388	0.7641001588
662	0.910128388	0.7631718319
663	0.910128388	0.7627052352
664	0.910128388	0.7622568755
665	0.9087018545	0.7617808487
666	0.910128388	0.7609457058
667	0.910128388	0.7602090296
668	0.910128388	0.7596402303
669	0.910128388	0.7590146822
670	0.910128388	0.758619927
671	0.9115549215	0.7581355626
672	0.910128388	0.7576137399
673	0.9115549215	0.7570899587
674	0.9115549215	0.7564310031
675	0.9129814551	0.7553607201
676	0.9129814551	0.7545160856
677	0.9144079886	0.7540578606
678	0.9158345221	0.7533570009
679	0.9144079886	0.7529501633
680	0.9172610556	0.7523126264
681	0.9186875892	0.7515324727
682	0.9186875892	0.7506669312
683	0.9186875892	0.7500779843
684	0.9172610556	0.7495370141
685	0.9201141227	0.7486105925
686	0.9215406562	0.7482537619
687	0.9215406562	0.7474920791
688	0.9215406562	0.7471916903
689	0.9215406562	0.7463895691
690	0.9201141227	0.7460825648
691	0.9201141227	0.7456543391
692	0.9201141227	0.7450672355
693	0.9215406562	0.7445366279
694	0.9201141227	0.7440090599
695	0.9215406562	0.7434133042
696	0.9201141227	0.7427578019
697	0.9215406562	0.7420503252
698	0.9201141227	0.7416388006
699	0.9215406562	0.7411321301
700	0.9215406562	0.7406243805
701	0.9229671897	0.7401797974
702	0.9229671897	0.7397121326
703	0.9229671897	0.7387233771
704	0.9229671897	0.7383160843
705	0.9229671897	0.7376973755
706	0.9229671897	0.7371756865
707	0.9243937233	0.7366649019
708	0.9243937233	0.736074629
709	0.9243937233	0.7356800178
710	0.9243937233	0.7351381816
711	0.9243937233	0.7347040462
712	0.9243937233	0.734236102
713	0.9243937233	0.7338023904
714	0.9243937233	0.7332096915
715	0.9243937233	0.7326795727
716	0.9243937233	0.7322269147
717	0.9243937233	0.7317059788
718	0.9243937233	0.7312572583
719	0.9243937233	0.7304621351
720	0.9243937233	0.729987672
721	0.9243937233	0.729175759
722	0.9243937233	0.7287277028
723	0.9258202568	0.7281421902
724	0.9258202568	0.7276076618
725	0.9258202568	0.7269843993
726	0.9258202568	0.726491611
727	0.9272467903	0.7259215416
728	0.9272467903	0.7255885643
729	0.9272467903	0.7251666746
730	0.9286733238	0.7246441833
731	0.9286733238	0.7238942124
732	0.9286733238	0.7234406497
733	0.9300998573	0.7228322441
734	0.9286733238	0.7222478986
735	0.9286733238	0.7219579577
736	0.9300998573	0.7215873144
737	0.9286733238	0.7210798942
738	0.9300998573	0.7205587066
739	0.9300998573	0.7199535984
740	0.9300998573	0.7193253872
741	0.9300998573	0.7188288842
742	0.9300998573	0.7182200959
743	0.9300998573	0.7176992128
744	0.9286733238	0.7169514741
745	0.9286733238	0.7166023946
746	0.9286733238	0.7157336636
747	0.9286733238	0.71534139
748	0.9300998573	0.7148398072
749	0.9300998573	0.7143837919
750	0.9300998573	0.7140027032
751	0.9300998573	0.7135151862
752	0.9300998573	0.7131834414
753	0.9300998573	0.7128183663
754	0.9300998573	0.7123615944
755	0.9300998573	0.7118670634
756	0.9300998573	0.7111676039
757	0.9300998573	0.7105307988
758	0.9286733238	0.710031291
759	0.9300998573	0.7095550986
760	0.9315263909	0.7091389348
761	0.9315263909	0.7086616432
762	0.9300998573	0.7078757375
763	0.9300998573	0.7071785881
764	0.9300998573	0.7062806419
765	0.9315263909	0.7057647973
766	0.9300998573	0.7052415177
767	0.9300998573	0.7048488823
768	0.9300998573	0.7041629718
769	0.9300998573	0.7035577375
770	0.9300998573	0.7030970957
771	0.9300998573	0.7027567925
772	0.9315263909	0.7022794033
773	0.9286733238	0.7018512924
774	0.9315263909	0.7015629061
775	0.9315263909	0.7012858004
776	0.9315263909	0.7009291198
777	0.9315263909	0.7003405613
778	0.9329529244	0.6998670016
779	0.9315263909	0.6993226197
780	0.9329529244	0.6985318322
781	0.9329529244	0.6980460237
782	0.9315263909	0.6974024878
783	0.9329529244	0.6967984151
784	0.9329529244	0.6963242489
785	0.9343794579	0.695928749
786	0.9343794579	0.6954545232
787	0.9343794579	0.6950515864
788	0.9329529244	0.6946898164
789	0.9343794579	0.6943664367
790	0.9358059914	0.6938627541
791	0.9358059914	0.6932325414
792	0.9358059914	0.6926534253
793	0.9358059914	0.6921635654
794	0.9358059914	0.6915296753
795	0.9358059914	0.6912011771
796	0.9358059914	0.6907761285
797	0.9358059914	0.690429568
798	0.9358059914	0.6899486641
799	0.9358059914	0.689431672
800	0.9358059914	0.6888846687
801	0.937232525	0.6883195636
802	0.937232525	0.6878456963
803	0.937232525	0.6874998441
804	0.937232525	0.687209705
805	0.937232525	0.6867101661
806	0.937232525	0.6863275645
807	0.937232525	0.6859748507
808	0.937232525	0.6857020437
809	0.937232525	0.6851784155
810	0.9358059914	0.6848301737
811	0.937232525	0.6842755803
812	0.937232525	0.6832186777
813	0.937232525	0.6829002456
814	0.937232525	0.6826460696
815	0.937232525	0.6818310211
816	0.937232525	0.6814330873
817	0.937232525	0.6809214714
818	0.937232525	0.6804575856
819	0.937232525	0.6799571531
820	0.937232525	0.679471393
821	0.937232525	0.6792711998
822	0.9386590585	0.6786238776
823	0.9386590585	0.6783092082
824	0.940085592	0.678044103
825	0.940085592	0.677582991
826	0.940085592	0.6772317954
827	0.940085592	0.6768868647
828	0.940085592	0.6764415168
829	0.940085592	0.676124701
830	0.940085592	0.6756939876
831	0.9415121255	0.6752827963
832	0.940085592	0.6746101383
833	0.940085592	0.6742471254
834	0.940085592	0.6738948674
835	0.940085592	0.6730486262
836	0.940085592	0.6727137773
837	0.9386590585	0.672356985
838	0.940085592	0.67175299
839	0.9386590585	0.6713806961
840	0.9386590585	0.6709388491
841	0.940085592	0.6701798713
842	0.940085592	0.6697014459
843	0.940085592	0.6690125514
844	0.9415121255	0.668677236
845	0.9415121255	0.6680909127
846	0.9415121255	0.667737901
847	0.9429386591	0.6671754517
848	0.9415121255	0.6664891799
849	0.9415121255	0.6661242703
850	0.9415121255	0.6655446607
851	0.9415121255	0.6651463866
852	0.9415121255	0.6648692171
853	0.9415121255	0.6645590016
854	0.9415121255	0.6639621291
855	0.9415121255	0.6636559643
856	0.9415121255	0.6633332398
857	0.9429386591	0.6627999927
858	0.9429386591	0.6619983809
859	0.9429386591	0.6615332637
860	0.9429386591	0.661126476
861	0.9429386591	0.6606730312
862	0.9429386591	0.6603757347
863	0.9429386591	0.6599682878
864	0.9429386591	0.6592963417
865	0.9429386591	0.6587734872
866	0.9429386591	0.6582416449
867	0.9429386591	0.6578581385
868	0.9429386591	0.6575690974
869	0.9429386591	0.6571432984
870	0.9429386591	0.6568467098
871	0.9429386591	0.6565293261
872	0.9429386591	0.6558963175
873	0.9429386591	0.6554337565
874	0.9429386591	0.6549926581
875	0.9429386591	0.6544135533
876	0.9443651926	0.6538802973
877	0.9429386591	0.6532835401
878	0.9443651926	0.6530078889
879	0.9443651926	0.6524187762
880	0.9443651926	0.6518290934
881	0.9457917261	0.6516403046
882	0.9457917261	0.6513478764
883	0.9457917261	0.6510899418
884	0.9443651926	0.6502775246
885	0.9472182596	0.6495752387
886	0.9457917261	0.6492344759
887	0.9472182596	0.6488079217
888	0.9472182596	0.6484451583
889	0.9472182596	0.6481169194
890	0.9486447932	0.6478922527
891	0.9486447932	0.647428465
892	0.9486447932	0.6470422554
893	0.9486447932	0.6466732994
894	0.9486447932	0.646393417
895	0.9486447932	0.6460561921
896	0.9486447932	0.6455879398
897	0.9486447932	0.6451090411
898	0.9486447932	0.6447765924
899	0.9500713267	0.6442449257
900	0.9500713267	0.6437680312
901	0.9500713267	0.6433300542
902	0.9500713267	0.642895122
903	0.9500713267	0.6424310391
904	0.9500713267	0.6420941788
905	0.9500713267	0.6416246506
